,Location,Price,Descr,Link,superficieutil,habitacionamueblada,numbanos,estadoconservacion,gastosincluidosalquiler,area,numhabitaciones
0,Ultramar (Ferrol),180,"Habitación con una habitación y un baño, armarios empotrados 1, ascensor 1, calefacción si, comedor 1, superfici...",/alquilar/habitacion-ultramar15404-77529123180_106000/,12,0,1,0,0,habitaciones-a_coruna,1
1,Ultramar (Ferrol),250,"Habitación con una habitación y un baño, armarios empotrados 1, ascensor 1, calefacción si, comedor 1, superfici...",/alquilar/habitacion-ultramar15404-77584021269_106000/,12,0,1,0,0,habitaciones-a_coruna,1
2,Campus Norte-San Caetano (Santiago de Compostela),179,Es una habitación individual  disponible a partir del dia 06-10-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-campus_norte_san_caetano15705-945856909696965_109600/,90,Amueblada,1,: En buen estado,0,habitaciones-a_coruna,3
3,Campus Norte-San Caetano (Santiago de Compostela),179,Es una habitación individual  disponible a partir del dia 06-10-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-campus_norte_san_caetano15705-945856909696966_109600/,90,Amueblada,1,: En buen estado,0,habitaciones-a_coruna,3
4,Liáns (Oleiros),320,"Se alquila en casa habitación con baño completo, también exterior, zona O Seixo (Oleiros) en la ría del Burgo",/alquilar/habitacion-madrid_carretera_de-945856908488613_109600/,760,Amueblada,5,: En buen estado,0,habitaciones-a_coruna,6
5,Ribeira (Santa Uxia),230,Es una habitación individual exterior disponible a partir del dia 07-04-2018. La duración mínima del contrato es...,/alquilar/habitacion-ribeira_santa_uxia-945856909676762_109600/,120,Amueblada,4,: En buen estado,0,habitaciones-a_coruna,4
6,Ensanche-Sar (Santiago de Compostela),240,Es una habitación doble  disponible a partir del dia 01-07-2019. La duración mínima del contrato es 1 mes. La du...,/alquilar/habitacion-ensanche_sar15701-945856909659601_109600/,120,Amueblada,2,0,0,habitaciones-a_coruna,4
7,Ribeira (Santa Uxia),230,Es una habitación individual exterior disponible a partir del dia 07-04-2018. La duración mínima del contrato es...,/alquilar/habitacion-ribeira_santa_uxia-945856909676761_109600/,120,Amueblada,4,: En buen estado,0,habitaciones-a_coruna,4
8,Os Mallos-A Falperra (A Coruña Capital),250,"El piso está genial. Recién amueblado y en un estado excelente.La habitación tiene una cama de 1,6m de ancho...",/alquilar/habitacion-os_mallos_a_falperra15005-945856909698301_109600/,180,Amueblada,2,0,0,habitaciones-a_coruna,3
9,Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital),195,Es una habitación individual exterior disponible a partir del dia 01-02-2020. La duración mínima del contrato es...,/alquilar/habitacion-elvina_barrio_flores_matogrande_someso15008-945856909695707_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,3
10,Ensanche (A Coruña Capital),190,Es una habitación individual exterior disponible a partir del dia 29-09-2019. La duración mínima del contrato es...,/alquilar/habitacion-ensanche15003-945856909694781_109600/,150,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,4
11,Ensanche (A Coruña Capital),265,Es una habitación individual exterior disponible a partir del dia 02-09-2019. El tamaño de la habitación es medi...,/alquilar/habitacion-ensanche15004-945856909656589_109600/,100,Amueblada,2,: A estrenar,0,habitaciones-a_coruna,4
