Descr,Edad mínima,Género,Link,Location,Número de inquilinos,Price,area,estadoconservacion,gastosincluidosenalquiler,gastosincluidosenalquiler ,habitacionamueblada,numbanos,numhabitaciones,superficieutil
"Habitación con una habitación y un baño, armarios empotrados 1, ascensor 1, calefacción si, comedor 1, superfici...",,,/alquilar/habitacion-ultramar15404-77584021269_106000/,Ultramar (Ferrol),,250,a_coruna,0,0.0,,0,1,1,12
"Habitación con una habitación y un baño, armarios empotrados 1, ascensor 1, calefacción si, comedor 1, superfici...",,,/alquilar/habitacion-ultramar15404-77529123180_106000/,Ultramar (Ferrol),,180,a_coruna,0,0.0,,0,1,1,12
Es una habitación individual  disponible a partir del dia 06-10-2019. La duración mínima del contrato es Más de ...,18,,/alquilar/habitacion-campus_norte_san_caetano15705-945856909696965_109600/,Campus Norte-San Caetano (Santiago de Compostela),2,179,a_coruna,En buen estado,0.0,,Amueblada,1,3,90
Es una habitación individual exterior disponible a partir del dia 07-04-2018. La duración mínima del contrato es...,18,,/alquilar/habitacion-ribeira_santa_uxia-945856909676761_109600/,Ribeira (Santa Uxia),2,230,a_coruna,En buen estado,0.0,,Amueblada,4,4,120
"Es una habitación doble exterior disponible a partir del dia 01-11-2019. El tamaño de la habitación es mediana, ...",18,Chicas,/alquilar/habitacion-sagrada_familia_viono15005-945856909702840_109600/,Sagrada Familia-Vioño (A Coruña Capital),3,150,a_coruna,0,0.0,,Amueblada,2,3,70
Piso amplio con dos baños,18,,/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909689845_109600/,Os Castros-Castrillón-Monelos (A Coruña Capital),4,190,a_coruna,En buen estado,0.0,,Amueblada,2,4,100
"Es una habitación doble exterior disponible a partir del dia 02-08-2019. El tamaño de la habitación es grande,  ...",18,Chicas,/alquilar/habitacion-nos15176-945856909677125_109600/,Nós (Oleiros),1,270,a_coruna,En buen estado,0.0,,Amueblada,1,3,100
"Es una habitación individual  disponible a partir del dia 01-07-2016. El tamaño de la habitación es mediana,  co...",18,,/alquilar/habitacion-elvina_barrio_flores_matogrande_someso15008-945856909701611_109600/,Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital),2,220,a_coruna,En buen estado,0.0,,Amueblada,1,2,90
Es una habitación individual exterior disponible a partir del dia 29-09-2019. La duración mínima del contrato es...,18,,/alquilar/habitacion-ensanche15003-945856909694781_109600/,Ensanche (A Coruña Capital),3,190,a_coruna,En buen estado,0.0,,Amueblada,2,4,150
Es una habitación individual exterior disponible a partir del dia 01-02-2020. La duración mínima del contrato es...,18,Chicas,/alquilar/habitacion-elvina_barrio_flores_matogrande_someso15008-945856909695707_109600/,Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital),2,195,a_coruna,En buen estado,0.0,,Amueblada,2,3,90
Es una habitación individual exterior disponible a partir del dia 09-02-2019. La duración mínima del contrato es...,18,Chicas,/alquilar/habitacion-os_mallos_a_falperra15005-945856909691348_109600/,Os Mallos-A Falperra (A Coruña Capital),2,180,a_coruna,En buen estado,0.0,,Amueblada,1,3,75
Es una habitación doble exterior disponible a partir del dia 01-01-2020. La duración mínima del contrato es 1 me...,22,,/alquilar/habitacion-os_anxeles-945856909683904_109600/,Os Anxeles (Brión),2,160,a_coruna,En buen estado,0.0,,Amueblada,2,3,92
Es una habitación doble  disponible a partir del dia 01-07-2019. La duración mínima del contrato es 1 mes. La du...,20,,/alquilar/habitacion-ensanche_sar15701-945856909659601_109600/,Ensanche-Sar (Santiago de Compostela),,240,a_coruna,0,0.0,,Amueblada,2,4,120
"El piso está genial. Recién amueblado y en un estado excelente.La habitación tiene una cama de 1,6m de ancho...",22,,/alquilar/habitacion-os_mallos_a_falperra15005-945856909698301_109600/,Os Mallos-A Falperra (A Coruña Capital),2,250,a_coruna,0,0.0,,Amueblada,2,3,180
Es una habitación individual  disponible a partir del dia 09-09-2019. La duración mínima del contrato es 5 Meses...,18,Chicas,/alquilar/habitacion-o_milladoiro-945856909688242_109600/,O Milladoiro (Ames),2,140,a_coruna,En buen estado,0.0,,Amueblada,2,3,100
"Se alquila en casa habitación con baño completo, también exterior, zona O Seixo (Oleiros) en la ría del Burgo",22,Chicos,/alquilar/habitacion-lians15172-945856909432838_109600/,Liáns (Oleiros),5,330,a_coruna,En buen estado,0.0,,Amueblada,5,6,760
Es una habitación individual  disponible a partir del dia 06-10-2019. La duración mínima del contrato es Más de ...,18,,/alquilar/habitacion-campus_norte_san_caetano15705-945856909696966_109600/,Campus Norte-San Caetano (Santiago de Compostela),2,179,a_coruna,En buen estado,0.0,,Amueblada,1,3,90
"Se alquila en casa habitación con baño completo, también exterior, zona O Seixo (Oleiros) en la ría del Burgo",22,Chicos,/alquilar/habitacion-madrid_carretera_de-945856908488613_109600/,Liáns (Oleiros),5,320,a_coruna,En buen estado,0.0,,Amueblada,5,6,760
Es una habitación individual exterior disponible a partir del dia 02-09-2019. El tamaño de la habitación es medi...,23,,/alquilar/habitacion-ensanche15004-945856909656589_109600/,Ensanche (A Coruña Capital),3,265,a_coruna,A estrenar,0.0,,Amueblada,2,4,100
