|Descr|Edad mínima|Género|Link|Location|Número de inquilinos|Price|area|estadoconservacion|gastosincluidosenalquiler|gastosincluidosenalquiler |habitacionamueblada|numbanos|numhabitaciones|superficieutil
0|Habitación con una habitación y un baño, armarios empotrados 1, ascensor 1, calefacción si, comedor 1, superfici...|||/alquilar/habitacion-ultramar15404-77529123180_106000/|Ultramar (Ferrol)||180|a_coruna|0|0.0||0|1|1|12
1|Habitación con una habitación y un baño, armarios empotrados 1, ascensor 1, calefacción si, comedor 1, superfici...|||/alquilar/habitacion-ultramar15404-77584021269_106000/|Ultramar (Ferrol)||250|a_coruna|0|0.0||0|1|1|12
2|Es una habitación individual  disponible a partir del dia 06-10-2019. La duración mínima del contrato es Más de ...|18||/alquilar/habitacion-campus_norte_san_caetano15705-945856909696965_109600/|Campus Norte-San Caetano (Santiago de Compostela)|2|179|a_coruna|En buen estado|0.0||Amueblada|1|3|90
3|Se alquila en casa habitación con baño completo, también exterior, zona O Seixo (Oleiros) en la ría del Burgo|22|Chicos|/alquilar/habitacion-lians15172-945856909432838_109600/|Liáns (Oleiros)|5|330|a_coruna|En buen estado|0.0||Amueblada|5|6|760
4|Es una habitación individual  disponible a partir del dia 06-10-2019. La duración mínima del contrato es Más de ...|18||/alquilar/habitacion-campus_norte_san_caetano15705-945856909696966_109600/|Campus Norte-San Caetano (Santiago de Compostela)|2|179|a_coruna|En buen estado|0.0||Amueblada|1|3|90
5|Es una habitación individual exterior disponible a partir del dia 23-06-2019. La duración mínima del contrato es...|18|Chicas|/alquilar/habitacion-agra_do_orzan_o_ventorillo15010-945856909705996_109600/|Agra do Orzán-O Ventorillo (A Coruña Capital)|2|200|a_coruna|A reformar|0.0||Amueblada|1|1|70
6|Es una habitación individual exterior disponible a partir del dia 07-04-2018. La duración mínima del contrato es...|18||/alquilar/habitacion-ribeira_santa_uxia-945856909676762_109600/|Ribeira (Santa Uxia)|2|230|a_coruna|En buen estado|0.0||Amueblada|4|4|120
7|Es una habitación individual exterior disponible a partir del dia 29-09-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-ensanche15003-945856909694781_109600/|Ensanche (A Coruña Capital)|3|190|a_coruna|En buen estado|0.0||Amueblada|2|4|150
8|Es una habitación individual exterior disponible a partir del dia 01-09-2017. La duración mínima del contrato es...|18||/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909665942_109600/|Os Castros-Castrillón-Monelos (A Coruña Capital)||180|a_coruna|En buen estado|0.0||Amueblada|2|4|110
9|Es una habitación individual exterior disponible a partir del dia 01-09-2017. La duración mínima del contrato es...|18||/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909665941_109600/|Os Castros-Castrillón-Monelos (A Coruña Capital)||180|a_coruna|En buen estado|0.0||Amueblada|2|4|110
10|Es una habitación individual exterior disponible a partir del dia 09-02-2019. La duración mínima del contrato es...|18|Chicas|/alquilar/habitacion-os_mallos_a_falperra15005-945856909691348_109600/|Os Mallos-A Falperra (A Coruña Capital)|2|180|a_coruna|En buen estado|0.0||Amueblada|1|3|75
11|Es una habitación doble exterior disponible a partir del dia 01-09-2017. La duración mínima del contrato es Más ...|18||/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909665944_109600/|Os Castros-Castrillón-Monelos (A Coruña Capital)||250|a_coruna|En buen estado|0.0||Amueblada|2|4|110
12|"""se alquilan dos habitaciones en dúplex en Bastiagueiro a 400 m de la playa en un entorno de bosque y mar,zo..."|18||/alquilar/habitacion-lians15179-945856909603956_109600/|Liáns (Oleiros)|3|330|a_coruna|En buen estado|0.0||Amueblada|3|2|170
13|Es una habitación doble exterior disponible a partir del dia 01-09-2017. La duración mínima del contrato es Más ...|18||/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909665943_109600/|Os Castros-Castrillón-Monelos (A Coruña Capital)||200|a_coruna|En buen estado|0.0||Amueblada|2|4|110
14|Es una habitación individual  disponible a partir del dia 04-11-2019. La duración mínima del contrato es Más de ...|18||/alquilar/habitacion-ensanche_sar15701-945856909682839_109600/|Ensanche-Sar (Santiago de Compostela)|3|250|a_coruna|0|0.0||Amueblada|2|5|100
15|Es una habitación individual exterior disponible a partir del dia 30-11-2019. La duración mínima del contrato es...|18|Chicas|/alquilar/habitacion-agra_do_orzan_o_ventorillo15010-945856909706021_109600/|Agra do Orzán-O Ventorillo (A Coruña Capital)|2|200|a_coruna|0|0.0||Amueblada|1|1|70
16|"""se alquilan dos habitaciones en dúplex en Bastiagueiro a 400 m de la playa en un entorno de bosque y mar,zo..."|18||/alquilar/habitacion-lians15179-945856909603955_109600/|Liáns (Oleiros)|3|330|a_coruna|En buen estado|0.0||Amueblada|3|2|170
17|Se alquila en casa habitación con baño completo, también exterior, zona O Seixo (Oleiros) en la ría del Burgo|22|Chicos|/alquilar/habitacion-madrid_carretera_de-945856908488613_109600/|Liáns (Oleiros)|5|320|a_coruna|En buen estado|0.0||Amueblada|5|6|760
18|Es una habitación individual exterior disponible a partir del dia 02-09-2019. El tamaño de la habitación es medi...|23||/alquilar/habitacion-ensanche15004-945856909656589_109600/|Ensanche (A Coruña Capital)|3|265|a_coruna|A estrenar|0.0||Amueblada|2|4|100
19|Es una habitación doble exterior disponible a partir del dia 31-01-2020. La duración mínima del contrato es 1 me...|18||/alquilar/habitacion-concheiros_fontinas15703-945856909628907_109600/|Concheiros-Fontiñas (Santiago de Compostela)|1|300|a_coruna|0|0.0||Amueblada|2|3|100
